id,code,name,brand,category,price,stock,compatibility,description,image,oem_codes,installation_difficulty,warranty_months,weight,dimensions_length,dimensions_width,dimensions_height,supplier_name,supplier_code,supplier_lead_time_days
P001,Cofap-Amortecedor-156,Amortecedor Cofap,Cofap,suspensao,140.23,80,"Hyundai HB20 2000-2005|VW Gol 2016-2020",Amortecedor de alta qualidade da marca Cofap. Ideal para seu veículo.,/images/suspensao-1.jpg,,fácil,6,12.35,39.38,36.56,Componentes Master,CM-001,4
P002,NGK-Bateria-909,Bateria NGK,NGK,eletrica,703.11,136,"Fiat Palio 2011-2015|VW Gol 2021-2024",Bateria de alta qualidade da marca NGK. Ideal para seu veículo.,/images/eletrica-2.jpg,"OEM-18116-2",médio,24,18.06,53.27,15.68,Distribuidora Autopeças,D-456,5
P003,Bosch-Filtro-de-Ar-287,Filtro de Ar Bosch,Bosch,filtros,22.39,45,"Honda Civic 2016-2020|VW Gol 2006-2010",Filtro de Ar de alta qualidade da marca Bosch. Ideal para seu veículo.,/images/filtros-3.jpg,"OEM-68571-7",fácil,6,1.48,5.13,11.39,AutoPartes S.A.,S-123,3
P004,SKF-Bomba-de-Água-394,Bomba de Água SKF,SKF,motor,278.48,84,"VW Gol 2000-2005",Bomba de Água de alta qualidade da marca SKF. Ideal para seu veículo.,/images/motor-4.jpg,,fácil,12,0.67,49.25,12.63,Distribuidora Autopeças,D-456,5
P005,Valeo-Retrovisor-357,Retrovisor Valeo,Valeo,carroceria,184.28,103,"Chevrolet Onix 2000-2005",Retrovisor de alta qualidade da marca Valeo. Ideal para seu veículo.,/images/carroceria-5.jpg,"OEM-18968-1",fácil,3,1.96,44.97,18.84,Iluminação Veicular Ltda.,I-789,7
P006,Fram-Filtro-de-Óleo-341,Filtro de Óleo Fram,Fram,filtros,38.80,105,"Honda Civic 2021-2024|Ford Ka 2000-2005",Filtro de Óleo de alta qualidade da marca Fram. Ideal para seu veículo.,/images/filtros-6.jpg,"OEM-62187-5",fácil,6,0.30,10.02,6.59,7.20,AutoPartes S.A.,S-123,3
P007,Pirelli-Pneu-Aro-15-568,Pneu Aro 15 Pirelli,Pirelli,pneus,388.94,86,"Toyota Corolla 2006-2010",Pneu Aro 15 de alta qualidade da marca Pirelli. Ideal para seu veículo.,/images/pneus-7.jpg,,difícil,24,8.19,29.98,11.45,15.68,Transmissões Brasil,TB-010,10
P008,Bosch-Pastilha-de-Freio-464,Pastilha de Freio Bosch,Bosch,freios,109.91,123,"Toyota Corolla 2000-2005|VW Gol 2011-2015|Chevrolet Tracker 2006-2010",Pastilha de Freio de alta qualidade da marca Bosch. Ideal para seu veículo.,/images/freios-8.jpg,"OEM-25667-8",fácil,12,0.91,37.38,15.65,18.06,Componentes Master,CM-001,4
P009,Jurid-Pastilha-de-Freio-940,Pastilha de Freio Jurid,Jurid,freios,88.46,95,"Fiat Palio 2011-2015|VW Gol 2016-2020",Pastilha de Freio de alta qualidade da marca Jurid. Ideal para seu veículo.,/images/freios-9.jpg,"OEM-64157-7",médio,12,0.61,40.10,14.62,13.73,Distribuidora Autopeças,D-456,5
P010,NGK-Bateria-900,Bateria NGK,NGK,eletrica,655.82,107,"Fiat Uno 2011-2015|Ford Ka 2011-2015|VW Gol 2000-2005",Bateria de alta qualidade da marca NGK. Ideal para seu veículo.,/images/eletrica-10.jpg,"OEM-22770-4",fácil,24,19.06,20.02,17.20,AutoPartes S.A.,S-123,3
P011,Monroe-Mola-de-Suspensão-785,Mola de Suspensão Monroe,Monroe,suspensao,93.42,126,"Fiat Palio 2016-2020|VW Gol 2011-2015",Mola de Suspensão de alta qualidade da marca Monroe. Ideal para seu veículo.,/images/suspensao-11.jpg,"OEM-52729-1",fácil,12,3.31,39.06,24.16,10.84,Transmissões Brasil,TB-010,10
P012,Contitech-Correia-Dentada-886,Correia Dentada Contitech,Contitech,motor,169.60,121,"Fiat Uno 2016-2020",Correia Dentada de alta qualidade da marca Contitech. Ideal para seu veículo.,/images/motor-12.jpg,,médio,12,0.48,51.85,13.62,10.84,Acessórios Auto,AA-200,2
P013,Cofap-Amortecedor-530,Amortecedor Cofap,Cofap,suspensao,121.57,105,"Chevrolet Onix 2011-2015",Amortecedor de alta qualidade da marca Cofap. Ideal para seu veículo.,/images/suspensao-13.jpg,,médio,12,13.92,57.17,14.54,32.70,AutoPartes S.A.,S-123,3
P014,Pirelli-Pneu-Aro-16-160,Pneu Aro 16 Pirelli,Pirelli,pneus,473.49,114,"VW Gol 2016-2020|Toyota Corolla 2000-2005",Pneu Aro 16 de alta qualidade da marca Pirelli. Ideal para seu veículo.,/images/pneus-14.jpg,"OEM-54316-2",difícil,24,9.39,52.27,14.93,19.00,Distribuidora Autopeças,D-456,5
P015,Bosch-Filtro-de-Combustível-596,Filtro de Combustível Bosch,Bosch,filtros,35.63,138,"Toyota Corolla 2000-2005",Filtro de Combustível de alta qualidade da marca Bosch. Ideal para seu veículo.,/images/filtros-15.jpg,"OEM-92900-3",fácil,6,0.30,7.99,6.01,7.20,Componentes Master,CM-001,4
P016,NGK-Cabo-de-Vela-783,Cabo de Vela NGK,NGK,eletrica,83.91,105,"Fiat Palio 2011-2015|Toyota Corolla 2016-2020",Cabo de Vela de alta qualidade da marca NGK. Ideal para seu veículo.,/images/eletrica-16.jpg,"OEM-54446-4|OEM-28946-8",fácil,12,0.76,33.15,19.78,9.75,AutoPartes S.A.,S-123,3
