id,code,name,brand,category,price,stock,compatibility,description,image,oem_codes,installation_difficulty,warranty_months,weight,dimensions_length,dimensions_width,dimensions_height,supplier_name,supplier_code,supplier_lead_time_days
P101,Mahle-Filtro-Ar-445,Filtro de Ar Mahle,Mahle,filtros,32.50,75,"Honda Fit 2009-2014|Nissan March 2011-2016",Filtro de ar de alta eficiência da marca Mahle. Garante melhor performance do motor.,/images/filtros-101.jpg,"OEM-17220-5LA-A00",fácil,6,0.35,25.4,20.3,5.1,Filtros Premium,FP-001,3
P102,Denso-Vela-Iridium-892,Vela de Ignição Iridium Denso,Denso,eletrica,65.90,120,"Toyota Etios 2012-2020|Hyundai HB20 2012-2019",Vela de ignição com tecnologia iridium para maior durabilidade e performance.,/images/eletrica-102.jpg,"OEM-90919-01253",fácil,12,0.08,19.0,14.0,14.0,Ignição Total,IT-002,2
P103,Sachs-Embreagem-Kit-567,Kit Embreagem Sachs,Sachs,transmissao,890.00,45,"VW Polo 2002-2009|Seat Ibiza 2002-2008",Kit completo de embreagem com platô disco e rolamento.,/images/transmissao-103.jpg,"OEM-3000951301",difícil,18,15.2,240.0,240.0,50.0,Transmissões Pro,TP-003,7
P104,Mobil-Oleo-Motor-5W30,Óleo Motor 5W30 Mobil,Mobil,lubrificantes,45.90,200,"Universal - Motores Flex",Óleo sintético de alta performance para motores flex.,/images/lubrificantes-104.jpg,,fácil,0,1.0,25.0,15.0,20.0,Lubrificantes Brasil,LB-004,1
P105,Dayco-Correia-Poly-V-334,Correia Poly-V Dayco,Dayco,motor,85.40,90,"Ford Focus 2009-2013|Chevrolet Cruze 2011-2016",Correia poly-v para sistema de acessórios do motor.,/images/motor-105.jpg,"OEM-6PK1195",médio,12,0.45,119.5,2.5,0.8,Motor Parts,MP-005,4
P106,Hella-Farol-LED-789,Farol LED Hella,Hella,iluminacao,450.00,35,"Audi A3 2013-2020|VW Golf 2013-2020",Farol LED de alta tecnologia com excelente iluminação.,/images/iluminacao-106.jpg,"OEM-8V0941043C",médio,24,2.8,35.0,25.0,15.0,Iluminação Pro,IP-006,5
P107,Bendix-Pastilha-Ceramica-445,Pastilha Cerâmica Bendix,Bendix,freios,125.90,85,"BMW Série 3 2005-2012|Mercedes Classe C 2007-2014",Pastilha de freio cerâmica para alta performance.,/images/freios-107.jpg,"OEM-34116761244",fácil,18,1.2,15.0,10.0,2.5,Freios Premium,FP-007,3
P108,KYB-Amortecedor-Gas-667,Amortecedor a Gás KYB,KYB,suspensao,180.50,70,"Mitsubishi Lancer 2007-2017|Nissan Sentra 2007-2013",Amortecedor a gás para melhor estabilidade e conforto.,/images/suspensao-108.jpg,"OEM-333503",médio,12,2.1,35.0,5.0,5.0,Suspensão Total,ST-008,6
P109,Liqui-Moly-Aditivo-Motor,Aditivo Motor Liqui Moly,Liqui Moly,aditivos,35.90,150,"Universal - Todos os motores",Aditivo para limpeza e proteção interna do motor.,/images/aditivos-109.jpg,,fácil,0,0.3,15.0,8.0,8.0,Aditivos Pro,AP-009,2
P110,Magneti-Marelli-Bobina-223,Bobina de Ignição Magneti Marelli,Magneti Marelli,eletrica,180.00,60,"Fiat Punto 2007-2012|Fiat Linea 2008-2014",Bobina de ignição de alta qualidade para motores Fire.,/images/eletrica-110.jpg,"OEM-55219638",médio,12,0.8,12.0,8.0,8.0,Ignição Master,IM-010,4
P111,Continental-Pneu-185-65R15,Pneu 185/65R15 Continental,Continental,pneus,320.00,50,"Honda City 2009-2014|Toyota Yaris 2012-2018",Pneu de alta qualidade para carros compactos.,/images/pneus-111.jpg,,difícil,36,8.5,60.0,60.0,18.5,Pneus & Rodas,PR-011,8
P112,Elring-Junta-Cabecote-889,Junta do Cabeçote Elring,Elring,motor,250.00,40,"VW Gol 1.0 2005-2014|VW Fox 1.0 2003-2009",Junta do cabeçote de alta resistência térmica.,/images/motor-112.jpg,"OEM-030103383AF",difícil,24,0.5,25.0,20.0,0.5,Motor Expert,ME-012,5
P113,Osram-Lampada-H7-LED,Lâmpada H7 LED Osram,Osram,iluminacao,85.90,100,"Universal - Faróis H7",Lâmpada LED H7 de alta luminosidade e baixo consumo.,/images/iluminacao-113.jpg,,fácil,24,0.1,10.0,5.0,5.0,LED Tech,LT-013,2
P114,Ate-Disco-Freio-Ventilado,Disco de Freio Ventilado ATE,ATE,freios,180.00,55,"Peugeot 206 2001-2012|Citroën C3 2003-2012",Disco de freio ventilado para melhor dissipação de calor.,/images/freios-114.jpg,"OEM-24012101691",médio,18,4.2,26.0,26.0,2.5,Freios Europa,FE-014,4
P115,Febi-Bucha-Bandeja-334,Bucha da Bandeja Febi,Febi,suspensao,45.90,120,"BMW X1 2009-2015|Mini Cooper 2006-2013",Bucha de poliuretano para bandeja de suspensão.,/images/suspensao-115.jpg,"OEM-31126758510",fácil,12,0.2,8.0,6.0,4.0,Suspensão Import,SI-015,3
